ID,University Name,Year,Win,Loss,Off.Rank,Off.Plays,Off.Yards,Off.Yards.Play,Off.TDs,Total.TDs,Off.Yards.per.Game,Def.Rank,Def.Plays,Yards.Allowed,Yards.Play.Allowed,Off.TDs.Allowed,Total.TDs.Allowed,Yards.Per.Game.Allowed,First.Down.Rank,First.Down.Runs,First.Down.Passes,First.Down.Penalties,First.Downs,First.Down.Def.Rank,Opp.First.Down.Runs
Middle Tenn. - 2016,Middle Tenn. ,2016,13,8,5,8,973,6730,6.92,65,517.7,96,1068,5843,5.47,61,62,449.5,122,150,150,19,319,122,150
Minnesota - 2016,Minnesota ,2016,13,9,4,107,886,4644,5.24,43,357.2,21,940,4534,4.82,34,35,348.8,30,95,129,23,247,30,95
Mississippi St. - 2016,Mississippi St. ,2016,13,6,7,44,943,5723,6.07,48,440.2,110,957,5968,6.24,50,53,459.1,113,110,172,16,298,113,110
Missouri - 2016,Missouri ,2016,12,4,8,13,948,6006,6.34,49,500.5,118,949,5756,6.07,45,49,479.7,77,120,133,20,273,77,120
Navy - 2016,Navy ,2016,14,9,5,46,900,6136,6.82,70,438.3,84,959,6076,6.34,52,54,434,119,136,161,10,307,119,136
NC State - 2016,NC State ,2016,13,7,6,63,942,5413,5.75,43,416.4,24,894,4586,5.13,34,34,352.8,31,81,141,26,248,31,81
Nebraska - 2016,Nebraska ,2016,13,9,4,90,923,4951,5.36,42,380.8,30,855,4728,5.53,38,40,363.7,18,91,121,19,231,18,91
New Mexico St. - 2016,New Mexico St. ,2016,12,3,9,64,914,4976,5.44,35,414.7,121,909,5960,6.56,54,60,496.7,99,133,141,15,289,99,133
North Carolina - 2016,North Carolina ,2016,13,8,5,45,860,5707,6.64,51,439,63,987,5305,5.37,39,40,408.1,95,154,108,23,285,95,154
North Texas - 2016,North Texas ,2016,13,5,8,117,875,4444,5.08,39,341.8,89,942,5717,6.07,51,55,439.8,93,147,103,34,284,93,147
Northern Ill. - 2016,Northern Ill. ,2016,12,5,7,27,949,5565,5.86,47,463.8,98,936,5418,5.79,49,49,451.5,105,120,141,31,292,105,120
Northwestern - 2016,Northwestern ,2016,13,7,6,73,984,5177,5.26,44,398.2,60,974,5257,5.4,33,34,404.4,90,113,156,11,280,90,113
Notre Dame - 2016,Notre Dame ,2016,12,4,8,62,826,5011,6.07,45,417.6,42,842,4546,5.4,37,44,378.8,24,120,102,22,244,24,120
Ohio - 2016,Ohio ,2016,14,8,6,77,1004,5492,5.47,39,392.3,27,984,5043,5.13,37,38,360.2,67,96,153,18,267,67,96
Ohio St. - 2016,Ohio St. ,2016,13,11,2,31,992,5969,6.02,59,459.2,6,882,3858,4.37,19,22,296.8,5,88,104,8,200,5,88
Oklahoma - 2016,Oklahoma ,2016,13,11,2,2,957,7212,7.54,73,554.8,82,960,5616,5.85,44,46,432,82,112,145,19,276,82,112
Oklahoma St. - 2016,Oklahoma St. ,2016,13,10,3,14,956,6432,6.73,61,494.8,92,979,5802,5.93,44,46,446.3,110,126,144,25,295,110,126
Old Dominion - 2016,Old Dominion ,2016,13,10,3,50,874,5601,6.41,58,430.8,49,921,4987,5.41,46,47,383.6,87,118,139,21,278,87,118
Ole Miss - 2016,Ole Miss ,2016,12,5,7,26,905,5572,6.16,44,464.3,111,896,5535,6.18,46,50,461.3,74,137,116,17,270,74,137
Oregon - 2016,Oregon ,2016,12,4,8,15,892,5900,6.61,57,491.7,126,971,6221,6.41,67,68,518.4,128,157,156,24,337,128,157
Oregon St. - 2016,Oregon St. ,2016,12,4,8,105,795,4386,5.52,37,365.5,79,894,5150,5.76,40,45,429.2,85,133,118,26,277,85,133
Penn St. - 2016,Penn St. ,2016,14,11,3,49,931,6056,6.5,63,432.6,37,1023,5151,5.04,40,42,367.9,79,109,140,25,274,79,109
Pittsburgh - 2016,Pittsburgh ,2016,13,8,5,38,866,5808,6.71,64,446.8,101,985,5886,5.98,56,59,452.8,117,87,193,23,303,117,87
Purdue - 2016,Purdue ,2016,12,3,9,80,918,4693,5.11,37,391.1,91,860,5350,6.22,57,59,445.8,57,135,112,14,261,57,135
Rice - 2016,Rice ,2016,12,3,9,86,895,4618,5.16,39,384.8,123,815,6054,7.43,55,58,504.5,51,120,124,14,258,51,120
Rutgers - 2016,Rutgers ,2016,12,2,10,128,821,3398,4.14,19,283.2,97,851,5408,6.35,54,60,450.7,23,143,87,12,242,23,143
SMU - 2016,SMU ,2016,12,5,7,55,934,5127,5.49,36,427.3,103,906,5436,6,52,56,453,71,128,124,16,268,71,128
South Alabama - 2016,South Alabama ,2016,13,6,7,82,884,5062,5.73,40,389.4,53,900,5068,5.63,40,44,389.8,82,142,108,26,276,82,142
South Carolina - 2016,South Carolina ,2016,13,6,7,115,877,4518,5.15,32,347.5,66,953,5355,5.62,40,44,411.9,113,144,134,20,298,113,144
South Fla. - 2016,South Fla. ,2016,13,11,2,11,928,6650,7.17,73,511.5,120,1077,6266,5.82,50,50,482,125,144,159,23,326,125,144
Southern California - 2016,Southern California ,2016,13,10,3,20,969,6202,6.4,51,477.1,36,887,4773,5.38,40,41,367.2,32,93,130,26,249,32,93
Southern Miss. - 2016,Southern Miss. ,2016,13,7,6,21,1022,6146,6.01,52,472.8,15,739,4223,5.71,47,50,324.8,4,90,83,20,193,4,90
Stanford - 2016,Stanford ,2016,13,10,3,103,827,4772,5.77,35,367.1,38,894,4785,5.35,33,33,368.1,40,105,129,19,253,40,105
Syracuse - 2016,Syracuse ,2016,12,4,8,42,971,5290,5.45,39,440.8,122,870,6013,6.91,55,61,501.1,81,121,139,15,275,81,121
TCU - 2016,TCU ,2016,13,6,7,29,991,6021,6.08,48,463.2,73,1006,5522,5.49,42,43,424.8,79,130,128,16,274,79,130
Temple - 2016,Temple ,2016,14,10,4,66,967,5790,5.99,53,413.6,3,852,3955,4.64,30,33,282.5,10,101,96,18,215,10,101
Tennessee - 2016,Tennessee ,2016,13,9,4,40,896,5768,6.44,59,443.7,95,1000,5840,5.84,46,48,449.2,107,136,135,22,293,107,136
Texas - 2016,Texas ,2016,12,5,7,16,999,5895,5.9,48,491.3,94,955,5379,5.63,45,47,448.3,82,124,128,24,276,82,124
Texas A&M - 2016,Texas A&M ,2016,13,8,5,24,953,6071,6.37,53,467,90,1035,5743,5.55,37,38,441.8,118,133,142,31,306,118,133
Texas St. - 2016,Texas St. ,2016,12,2,10,126,841,3628,4.31,27,302.3,117,913,5653,6.19,61,63,471.1,96,138,122,26,286,96,138
Texas Tech - 2016,Texas Tech ,2016,12,5,7,1,1042,6774,6.5,69,564.5,128,943,6652,7.05,65,68,554.3,124,138,172,11,321,124,138
Toledo - 2016,Toledo ,2016,13,9,4,7,935,6731,7.2,63,517.8,57,888,5155,5.81,39,41,396.5,48,110,126,20,256,48,110
Troy - 2016,Troy ,2016,13,10,3,53,977,5585,5.72,53,429.6,35,944,4765,5.05,33,36,366.5,34,92,136,22,250,34,92
Tulane - 2016,Tulane ,2016,12,4,8,118,849,4097,4.83,35,341.4,31,816,4374,5.36,37,42,364.5,11,100,98,18,216,11,100
Tulsa - 2016,Tulsa ,2016,13,10,3,4,1114,6851,6.15,66,527,75,1013,5544,5.47,44,48,426.5,57,107,138,16,261,57,107
UCF - 2016,UCF ,2016,13,6,7,113,975,4561,4.68,39,350.8,39,1008,4814,4.78,38,40,370.3,46,124,113,18,255,46,124
UCLA - 2016,UCLA ,2016,12,4,8,91,839,4558,5.43,35,379.8,47,944,4584,4.86,33,37,382,67,105,129,33,267,67,105
UConn - 2016,UConn ,2016,12,3,9,122,798,3840,4.81,19,320,65,862,4929,5.72,39,43,410.8,36,89,149,13,251,36,89
Utah - 2016,Utah ,2016,13,9,4,51,969,5599,5.78,41,430.7,48,895,4979,5.56,36,39,383,43,89,145,20,254,43,89
UTEP - 2016,UTEP ,2016,12,4,8,102,736,4430,6.02,41,369.2,70,822,5032,6.12,49,53,419.3,63,139,108,18,265,63,139
UTSA - 2016,UTSA ,2016,13,6,7,97,907,4881,5.38,48,375.5,55,895,5096,5.69,43,46,392,75,115,128,28,271,75,115
Vanderbilt - 2016,Vanderbilt ,2016,13,6,7,110,891,4624,5.19,35,355.7,64,899,5306,5.9,34,37,408.2,66,108,138,20,266,66,108
Virginia - 2016,Virginia ,2016,12,2,10,112,871,4235,4.86,36,352.9,93,846,5359,6.33,45,51,446.6,51,102,135,21,258,51,102
Virginia Tech - 2016,Virginia Tech ,2016,14,10,4,39,1087,6229,5.73,58,444.9,18,955,4770,4.99,40,41,340.7,22,98,116,26,240,22,98
Wake Forest - 2016,Wake Forest ,2016,13,7,6,124,886,4049,4.57,26,311.5,40,903,4817,5.33,36,37,370.5,36,107,129,15,251,36,107
Washington - 2016,Washington ,2016,14,12,2,32,937,6397,6.83,71,456.9,12,963,4436,4.61,29,30,316.9,28,98,119,29,246,28,98
Washington St. - 2016,Washington St. ,2016,13,8,5,18,1026,6273,6.11,63,482.5,62,873,5277,6.04,41,45,405.9,62,89,151,24,264,62,89
West Virginia - 2016,West Virginia ,2016,13,10,3,17,983,6312,6.42,50,485.5,74,995,5537,5.56,35,37,425.9,93,118,144,22,284,93,118
Western Ky. - 2016,Western Ky. ,2016,14,11,3,5,958,7324,7.65,77,523.1,41,1014,5272,5.2,41,43,376.6,91,81,166,34,281,91,81
Western Mich. - 2016,Western Mich. ,2016,14,13,1,19,1012,6737,6.66,69,481.2,26,850,4951,5.82,34,35,353.6,36,111,125,15,251,36,111
Wisconsin - 2016,Wisconsin ,2016,14,11,3,89,981,5350,5.45,45,382.1,7,857,4219,4.92,22,24,301.4,16,83,130,16,229,16,83
Air Force - 2017,Air Force ,2017,5,7,49,908,5010,5.52,48,417.5,66,694,4727,6.81,47,49,393.9,14,114,81,17,212,14,114,81
Akron - 2017,Akron ,2017,7,7,121,906,4424,4.88,38,316,103,1030,6200,6.02,48,49,442.9,129,151,146,31,328,129,151,146
Alabama - 2017,Alabama ,2017,13,1,29,944,6217,6.59,64,444.1,1,913,3646,3.99,17,18,260.4,17,76,114,25,215,17,76,114
Appalachian St. - 2017,Appalachian St. ,2017,9,4,31,886,5718,6.45,55,439.8,29,839,4453,5.31,28,30,342.5,20,95,109,18,222,20,95,109
Arizona - 2017,Arizona ,2017,7,6,12,908,6364,7.01,67,489.5,118,1015,6125,6.03,57,59,471.2,128,128,164,29,321,128,128,164
Arizona St. - 2017,Arizona St. ,2017,7,6,37,981,5600,5.71,48,430.8,108,924,5846,6.33,51,54,449.7,110,112,155,23,290,110,112,155
Arkansas - 2017,Arkansas ,2017,4,8,94,802,4481,5.59,42,373.4,101,815,5259,6.45,51,56,438.3,67,128,115,14,257,67,128,115
Arkansas St. - 2017,Arkansas St. ,2017,7,5,10,975,5937,6.09,55,494.8,54,857,4530,5.29,35,40,377.5,32,88,120,25,233,32,88,120
Army West Point - 2017,Army West Point ,2017,10,3,76,850,5071,5.97,52,390.1,32,727,4546,6.25,37,39,349.7,40,115,106,15,236,40,115,106
Auburn - 2017,Auburn ,2017,10,4,26,1024,6323,6.17,55,451.6,14,957,4471,4.67,27,31,319.4,32,100,111,22,233,32,100,111
Ball St. - 2017,Ball St. ,2017,2,10,110,902,4022,4.46,26,335.2,87,764,5059,6.62,56,65,421.6,46,105,122,15,242,46,105,122
Baylor - 2017,Baylor ,2017,1,11,59,876,4859,5.55,33,404.9,111,849,5483,6.46,47,52,456.9,74,124,125,15,264,74,124,125
Boise St. - 2017,Boise St. ,2017,11,3,57,981,5686,5.8,51,406.1,22,965,4657,4.83,37,42,332.6,58,98,134,18,250,58,98,134
Boston College - 2017,Boston College ,2017,7,6,84,985,5027,5.1,40,386.7,57,926,4977,5.37,36,37,382.8,37,111,115,9,235,37,111,115
Bowling Green - 2017,Bowling Green ,2017,2,10,85,847,4640,5.48,34,386.7,125,920,6079,6.61,57,61,506.6,121,152,136,25,313,121,152,136
Buffalo - 2017,Buffalo ,2017,6,6,36,828,5183,6.26,42,431.9,71,870,4778,5.49,39,39,398.2,68,136,105,17,258,68,136,105
BYU - 2017,BYU ,2017,4,9,118,822,4227,5.14,25,325.2,51,906,4847,5.35,34,37,372.8,79,119,135,13,267,79,119,135
California - 2017,California ,2017,5,7,89,892,4614,5.17,36,384.5,95,888,5159,5.81,39,40,429.9,82,116,136,17,269,82,116,136
Central Mich. - 2017,Central Mich. ,2017,8,5,77,923,5067,5.49,46,389.8,49,959,4820,5.03,40,44,370.8,55,117,108,24,249,55,117,108
Charlotte - 2017,Charlotte ,2017,1,11,123,740,3638,4.92,23,303.2,110,886,5455,6.16,44,51,454.6,99,132,134,16,282,99,132,134
Cincinnati - 2017,Cincinnati ,2017,4,8,101,805,4221,5.24,31,351.8,94,879,5142,5.85,42,46,428.5,91,119,124,32,275,91,119,124
Clemson - 2017,Clemson ,2017,12,2,38,1048,6014,5.74,57,429.6,4,908,3874,4.27,21,22,276.7,10,99,89,19,207,10,99,89
Colorado - 2017,Colorado ,2017,5,7,48,909,5011,5.51,36,417.6,109,884,5407,6.12,40,42,450.6,95,132,128,19,279,95,132,128
Colorado St. - 2017,Colorado St. ,2017,7,6,11,977,6402,6.55,55,492.5,97,892,5611,6.29,43,46,431.6,93,118,135,24,277,93,118,135
Duke - 2017,Duke ,2017,7,6,88,1016,5002,4.92,38,384.8,21,828,4324,5.22,32,34,332.6,14,103,87,22,212,14,103,87
East Carolina - 2017,East Carolina ,2017,3,9,42,939,5107,5.44,36,425.6,129,842,6500,7.72,67,73,541.7,114,140,136,20,296,114,140,136
Eastern Mich. - 2017,Eastern Mich. ,2017,5,7,83,857,4643,5.42,35,386.9,39,817,4363,5.34,33,35,363.6,22,96,104,23,223,22,96,104
FIU - 2017,FIU ,2017,8,5,73,890,5100,5.73,39,392.3,83,896,5394,6.02,47,47,414.9,111,116,145,32,293,111,116,145
Fla. Atlantic - 2017,Fla. Atlantic ,2017,11,3,9,1026,6977,6.8,73,498.4,63,1051,5454,5.19,40,40,389.6,119,116,163,26,305,119,116,163
Florida - 2017,Florida ,2017,4,7,109,712,3695,5.19,25,335.9,31,670,3842,5.73,32,36,349.3,4,82,92,18,192,4,82,92
Florida St. - 2017,Florida St. ,2017,7,6,100,808,4575,5.66,39,351.9,18,906,4304,4.75,34,34,331.1,25,90,120,16,226,25,90,120
Fresno St. - 2017,Fresno St. ,2017,10,4,72,952,5501,5.78,41,392.9,15,924,4488,4.86,27,30,320.6,44,92,132,15,239,44,92,132
Ga. Southern - 2017,Ga. Southern ,2017,2,10,113,839,3988,4.75,27,332.3,80,746,4925,6.6,49,52,410.4,25,96,108,22,226,25,96,108
Georgia - 2017,Georgia ,2017,13,2,32,975,6529,6.7,66,435.3,6,943,4424,4.69,27,28,294.9,36,108,103,23,234,36,108,103
Georgia St. - 2017,Georgia St. ,2017,7,5,81,852,4656,5.46,27,388,61,802,4654,5.8,37,38,387.8,20,83,128,11,222,20,83,128
Georgia Tech - 2017,Georgia Tech ,2017,5,6,74,751,4308,5.74,40,391.6,33,706,3897,5.52,32,35,354.3,8,93,99,9,201,8,93,99
Hawaii - 2017,Hawaii ,2017,3,9,63,843,4832,5.73,34,402.7,114,814,5505,6.76,52,55,458.8,88,124,129,21,274,88,124,129
Houston - 2017,Houston ,2017,7,5,40,857,5138,6,41,428.2,88,944,5066,5.37,29,32,422.2,88,107,147,20,274,88,107,147
Idaho - 2017,Idaho ,2017,4,8,104,824,4194,5.09,31,349.5,64,835,4685,5.61,35,36,390.4,51,112,121,12,245,51,112,121
Illinois - 2017,Illinois ,2017,2,10,126,725,3365,4.64,19,280.4,85,887,5021,5.66,47,50,418.4,82,137,109,23,269,82,137,109
Indiana - 2017,Indiana ,2017,5,7,70,951,4749,4.99,36,395.8,27,829,4081,4.92,36,39,340.1,12,98,84,28,210,12,98,84
Iowa - 2017,Iowa ,2017,8,5,116,836,4283,5.12,44,329.5,36,914,4647,5.08,29,30,357.5,49,96,130,18,244,49,96,130
Iowa St. - 2017,Iowa St. ,2017,8,5,86,904,5018,5.55,43,386,43,882,4760,5.4,33,34,366.2,70,97,148,15,260,70,97,148
Kansas - 2017,Kansas ,2017,1,11,117,851,3948,4.64,25,329,117,873,5620,6.44,62,68,468.3,75,106,141,18,265,75,106,141
Kansas St. - 2017,Kansas St. ,2017,8,5,95,789,4843,6.14,45,372.5,90,953,5548,5.82,40,40,426.8,86,88,174,10,272,86,88,174
Kent St. - 2017,Kent St. ,2017,2,10,127,754,3302,4.38,18,275.2,77,789,4900,6.21,50,56,408.3,45,111,96,34,241,45,111,96
Kentucky - 2017,Kentucky ,2017,7,6,103,818,4548,5.56,37,349.8,91,893,5550,6.22,44,46,426.9,108,124,145,20,289,108,124,145
La.-Monroe - 2017,La.-Monroe ,2017,4,8,21,863,5496,6.37,49,458,128,880,6385,7.26,64,67,532.1,116,137,147,17,301,116,137,147
Louisiana - 2017,Louisiana ,2017,5,7,65,828,4782,5.78,43,398.5,123,899,5912,6.58,60,64,492.7,117,151,132,19,302,117,151,132
Louisiana Tech - 2017,Louisiana Tech ,2017,7,6,62,915,5239,5.73,39,403,60,897,5012,5.59,38,41,385.5,88,142,120,12,274,88,142,120
Louisville - 2017,Louisville ,2017,8,5,3,959,7084,7.39,62,544.9,62,899,5045,5.61,42,47,388.1,78,118,133,15,266,78,118,133
LSU - 2017,LSU ,2017,9,4,54,863,5344,6.19,42,411.1,12,811,4108,5.07,27,27,316,13,83,109,19,211,13,83,109
Marshall - 2017,Marshall ,2017,8,5,92,898,4938,5.5,39,379.8,28,897,4442,4.95,31,32,341.7,58,88,135,27,250,58,88,135
Maryland - 2017,Maryland ,2017,4,8,119,754,3880,5.15,34,323.3,86,896,5033,5.62,52,59,419.4,101,119,135,30,284,101,119,135
Massachusetts - 2017,Massachusetts ,2017,4,8,35,865,5194,6,45,432.8,75,844,4859,5.76,44,47,404.9,29,112,98,18,228,29,112,98
Memphis - 2017,Memphis ,2017,10,3,4,941,6917,7.35,72,532.1,116,1054,6061,5.75,56,56,466.2,126,125,161,32,318,126,125,161
Miami - 2017,Miami ,2017,10,3,60,840,5243,6.24,45,403.3,38,989,4717,4.77,29,30,362.8,84,120,129,21,270,84,120,129
Miami - 2017,Miami ,2017,5,7,90,831,4603,5.54,36,383.6,45,814,4411,5.42,32,37,367.6,24,97,98,30,225,24,97,98
Michigan - 2017,Michigan ,2017,8,5,105,875,4536,5.18,35,348.9,3,779,3523,4.52,27,30,271,3,79,75,25,179,3,79,75
Michigan St. - 2017,Michigan St. ,2017,10,3,91,971,4980,5.13,38,383.1,7,794,3869,4.87,27,31,297.6,9,63,122,21,206,9,63,122
Middle Tenn. - 2017,Middle Tenn. ,2017,7,6,71,900,5114,5.68,38,393.4,35,939,4645,4.95,37,39,357.3,65,110,119,26,255,65,110,119
Minnesota - 2017,Minnesota ,2017,5,7,122,758,3702,4.88,29,308.5,30,754,4160,5.52,35,36,346.7,11,101,95,12,208,11,101,95
Mississippi St. - 2017,Mississippi St. ,2017,9,4,46,987,5442,5.51,47,418.6,10,761,3982,5.23,31,34,306.3,2,80,72,23,175,2,80,72
Missouri - 2017,Missouri ,2017,7,6,8,916,6528,7.13,60,502.2,82,962,5383,5.6,47,50,414.1,79,110,133,24,267,79,110,133
Navy - 2017,Navy ,2017,7,6,39,924,5573,6.03,52,428.7,48,780,4814,6.17,41,43,370.3,32,101,115,17,233,32,101,115
NC State - 2017,NC State ,2017,9,4,25,981,5873,5.99,52,451.8,58,898,4995,5.56,37,40,384.2,63,99,136,19,254,63,99,136
Nebraska - 2017,Nebraska ,2017,4,8,87,827,4620,5.59,36,385,100,826,5234,6.34,52,58,436.2,95,131,122,26,279,95,131,122
Nevada - 2017,Nevada ,2017,3,9,67,813,4771,5.87,42,397.6,119,924,5656,6.12,48,51,471.3,115,142,133,24,299,115,142,133
New Mexico - 2017,New Mexico ,2017,3,9,99,784,4314,5.5,29,359.5,70,779,4776,6.13,48,50,398,37,87,131,17,235,37,87,131
New Mexico St. - 2017,New Mexico St. ,2017,7,6,28,998,5810,5.82,47,446.9,74,972,5211,5.36,46,50,400.8,103,114,145,26,285,103,114,145
North Carolina - 2017,North Carolina ,2017,3,9,96,834,4435,5.32,38,369.6,98,895,5233,5.85,43,48,436.1,75,132,108,25,265,75,132,108
North Texas - 2017,North Texas ,2017,9,5,24,1037,6371,6.14,60,455.1,96,1013,6040,5.96,59,63,431.4,108,138,128,23,289,108,138,128
Northern Ill. - 2017,Northern Ill. ,2017,8,5,93,963,4911,5.1,43,377.8,26,953,4401,4.62,30,33,338.5,19,84,116,21,221,19,84,116
Northwestern - 2017,Northwestern ,2017,10,3,55,998,5304,5.31,47,408,34,926,4644,5.02,31,33,357.2,55,83,149,17,249,55,83,149
Notre Dame - 2017,Notre Dame ,2017,10,3,27,912,5827,6.39,55,448.2,46,951,4799,5.05,32,34,369.2,70,110,131,19,260,70,110,131
Ohio - 2017,Ohio ,2017,9,4,34,875,5630,6.43,64,433.1,50,912,4831,5.3,36,38,371.6,40,74,142,20,236,40,74,142
Ohio St. - 2017,Ohio St. ,2017,12,2,7,1029,7084,6.88,73,506,9,948,4213,4.44,29,35,300.9,37,77,127,31,235,37,77,127
Oklahoma - 2017,Oklahoma ,2017,12,2,1,979,8114,8.29,80,579.6,67,947,5529,5.84,47,47,394.9,105,118,133,35,286,105,118,133
Oklahoma St. - 2017,Oklahoma St. ,2017,10,3,2,1008,7396,7.34,71,568.9,79,966,5321,5.51,42,48,409.3,105,112,144,30,286,105,112,144
Old Dominion - 2017,Old Dominion ,2017,5,7,113,811,3988,4.92,26,332.3,92,885,5132,5.8,49,51,427.7,86,129,128,15,272,86,129,128
Ole Miss - 2017,Ole Miss ,2017,6,6,18,804,5548,6.9,47,462.3,115,895,5514,6.16,47,51,459.5,94,133,121,24,278,94,133,121
Oregon - 2017,Oregon ,2017,7,6,30,939,5732,6.1,58,440.9,46,946,4799,5.07,44,47,369.2,84,93,132,45,270,84,93,132
Oregon St. - 2017,Oregon St. ,2017,1,11,112,773,4005,5.18,29,333.8,120,859,5677,6.61,64,67,473.1,124,154,129,31,314,124,154,129
Penn St. - 2017,Penn St. ,2017,11,2,19,909,5984,6.58,68,460.3,17,898,4283,4.77,27,27,329.5,25,87,122,17,226,25,87,122
Pittsburgh - 2017,Pittsburgh ,2017,5,7,97,822,4394,5.35,33,366.2,69,798,4759,5.96,38,41,396.6,43,90,131,17,238,43,90,131
Purdue - 2017,Purdue ,2017,7,6,61,938,5240,5.59,39,403.1,52,926,4881,5.27,31,32,375.5,58,88,138,24,250,58,88,138
Rice - 2017,Rice ,2017,1,11,115,732,3982,5.44,26,331.8,89,795,5110,6.43,50,55,425.8,72,121,130,11,262,72,121,130
Rutgers - 2017,Rutgers ,2017,4,8,128,711,3152,4.43,26,262.7,72,836,4783,5.72,40,41,398.6,48,97,130,16,243,48,97,130
San Diego St. - 2017,San Diego St. ,2017,10,3,64,827,5202,6.29,46,400.2,11,804,4088,5.08,31,34,314.5,6,98,85,16,199,6,98,85
San Jose St. - 2017,San Jose St. ,2017,2,11,120,898,4135,4.6,21,318.1,124,1045,6491,6.21,65,70,499.3,121,172,124,17,313,121,172,124
SMU - 2017,SMU ,2017,7,6,15,973,6220,6.39,61,478.5,121,940,6197,6.59,59,62,476.7,118,135,146,23,304,118,135,146
South Alabama - 2017,South Alabama ,2017,4,8,111,786,4012,5.1,25,334.3,84,852,5013,5.88,36,38,417.8,68,98,139,21,258,68,98,139
South Carolina - 2017,South Carolina ,2017,9,4,108,802,4382,5.46,34,337.1,44,924,4772,5.16,29,30,367.1,75,102,139,24,265,75,102,139
South Fla. - 2017,South Fla. ,2017,10,2,6,1001,6156,6.15,55,513,37,892,4317,4.84,34,37,359.8,40,85,123,28,236,40,85,123
Southern California - 2017,Southern California ,2017,11,3,13,1034,6777,6.55,55,484.1,68,985,5539,5.62,42,46,395.6,99,122,130,30,282,99,122,130
Southern Miss. - 2017,Southern Miss. ,2017,8,5,43,937,5520,5.89,43,424.6,20,855,4315,5.05,37,40,331.9,30,95,107,27,229,30,95,107
Stanford - 2017,Stanford ,2017,9,5,79,843,5441,6.45,54,388.6,76,949,5672,5.98,38,39,405.1,111,128,143,22,293,111,128,143
Syracuse - 2017,Syracuse ,2017,4,8,23,1027,5476,5.33,36,456.3,105,832,5328,6.4,47,49,444,53,109,122,17,248,53,109,122
TCU - 2017,TCU ,2017,11,3,45,963,5869,6.09,55,419.2,19,916,4640,5.07,31,32,331.4,32,79,128,26,233,32,79,128
Temple - 2017,Temple ,2017,7,6,80,914,5046,5.52,36,388.2,56,919,4959,5.4,39,40,381.5,79,119,117,31,267,79,119,117
Tennessee - 2017,Tennessee ,2017,4,8,124,732,3493,4.77,25,291.1,81,834,4955,5.94,44,45,412.9,72,154,92,16,262,72,154,92
Texas - 2017,Texas ,2017,7,6,66,1006,5180,5.15,42,398.5,41,916,4753,5.19,31,33,365.6,30,81,130,18,229,30,81,130
Texas A&M - 2017,Texas A&M ,2017,7,6,56,955,5289,5.54,48,406.8,78,943,5310,5.63,47,51,408.5,66,108,127,21,256,66,108,127
Texas St. - 2017,Texas St. ,2017,2,10,107,854,4077,4.77,26,339.8,102,852,5267,6.18,42,48,438.9,55,89,148,12,249,55,89,148
Texas Tech - 2017,Texas Tech ,2017,6,7,16,1000,6170,6.17,54,474.6,104,998,5769,5.78,49,52,443.8,125,107,172,37,316,125,107,172
Toledo - 2017,Toledo ,2017,11,3,14,981,6775,6.91,60,483.9,59,958,5390,5.63,47,48,385,101,121,129,34,284,101,121,129
Troy - 2017,Troy ,2017,11,2,46,872,5442,6.24,49,418.6,24,916,4381,4.78,27,30,337,53,93,136,19,248,53,93,136
Tulane - 2017,Tulane ,2017,5,7,75,816,4698,5.76,43,391.5,98,783,5233,6.68,45,47,436.1,46,120,109,13,242,46,120,109
Tulsa - 2017,Tulsa ,2017,2,10,44,884,5044,5.71,42,420.3,127,868,6347,7.31,56,58,528.9,111,142,128,23,293,111,142,128
UAB - 2017,UAB ,2017,8,5,98,872,4728,5.42,43,363.7,41,882,4753,5.39,37,39,365.6,63,110,113,31,254,63,110,113
UCF - 2017,UCF ,2017,13,0,5,924,6896,7.46,77,530.5,93,969,5563,5.74,40,43,427.9,98,110,141,29,280,98,110,141
UCLA - 2017,UCLA ,2017,6,7,22,932,5952,6.39,50,457.8,122,1004,6288,6.26,54,58,483.7,127,165,112,43,320,127,165,112
UConn - 2017,UConn ,2017,3,9,50,907,4982,5.49,35,415.2,126,920,6228,6.77,60,61,519,120,114,173,21,308,120,114,173
UNLV - 2017,UNLV ,2017,5,7,41,827,5125,6.2,39,427.1,113,878,5504,6.27,48,49,458.7,107,158,116,14,288,107,158,116
Utah - 2017,Utah ,2017,7,6,52,953,5374,5.64,40,413.4,25,868,4399,5.07,31,33,338.4,28,87,117,23,227,28,87,117
Utah St. - 2017,Utah St. ,2017,6,7,68,920,5166,5.62,41,397.4,73,1002,5185,5.17,37,43,398.8,92,147,108,21,276,92,147,108
UTEP - 2017,UTEP ,2017,0,12,129,676,2766,4.09,16,230.5,107,859,5359,6.24,56,60,446.6,103,148,117,20,285,103,148,117
UTSA - 2017,UTSA ,2017,6,5,82,754,4261,5.65,26,387.4,5,636,3166,4.98,23,24,287.8,1,76,75,15,166,1,76,75
Vanderbilt - 2017,Vanderbilt ,2017,5,7,102,751,4209,5.6,41,350.8,65,807,4717,5.85,46,48,393.1,58,125,99,26,250,58,125,99
Virginia - 2017,Virginia ,2017,6,7,106,908,4449,4.9,35,342.2,40,879,4746,5.4,43,49,365.1,51,125,101,19,245,51,125,101
Virginia Tech - 2017,Virginia Tech ,2017,9,4,53,996,5367,5.39,40,412.8,13,820,4151,5.06,23,24,319.3,7,83,101,16,200,7,83,101
